I.Q. (1994)|Quiz Show (1994)|Three Colors: Red (1994)|Santa Clause, The (1994)|Fish Called Wanda, A (1988)|Wrong Trousers, The (1993)|Good, The Bad and The Ugly, The (1966)|Army of Darkness (1993)|Grand Day Out, A (1992)|Jerry Maguire (1996)
Dead Man Walking (1995)|Fifth Element, The (1997)|When the Cats Away (Chacun cherche son chat) (1996)|Men in Black (1997)|Starship Troopers (1997)|Restoration (1995)|Tin Cup (1996)|English Patient, The (1996)|Ulee's Gold (1997)|Fly Away Home (1996)
Dante's Peak (1997)|Crash (1996)|187 (1997)|Edge, The (1997)|How to Be a Player (1997)|Playing God (1997)|Species (1995)|Walk in the Clouds, A (1995)|Waterworld (1995)|You So Crazy (1994)
I.Q. (1994)|This Is Spinal Tap (1984)|Hoodlum (1997)|Air Force One (1997)|Deep Rising (1998)|White Man's Burden (1995)|Wild Bill (1995)|Farinelli: il castrato (1994)|Stephen King's The Langoliers (1995)|You So Crazy (1994)
Toy Story (1995)|Angels and Insects (1995)|Billy Madison (1995)|Delicatessen (1991)|Psycho (1960)|Full Metal Jacket (1987)|Raising Arizona (1987)|Man Without a Face, The (1993)|Tales from the Crypt Presents: Bordello of Blood (1996)|Highlander (1986)
Professional, The (1994)|Dances with Wolves (1990)|Private Benjamin (1980)|GoodFellas (1990)|Back to the Future (1985)|Spy Hard (1996)|Roman Holiday (1953)|East of Eden (1955)|Bringing Up Baby (1938)|Cat on a Hot Tin Roof (1958)
Babe (1995)|Nightmare Before Christmas, The (1993)|Breakfast at Tiffany's (1961)|Brazil (1985)|Cyrano de Bergerac (1990)|Harold and Maude (1971)|Fantasia (1940)|Treasure of the Sierra Madre, The (1948)|Ben-Hur (1959)|M (1931)
Richard III (1995)|Outbreak (1995)|Delicatessen (1991)|Return of the Jedi (1983)|Blues Brothers, The (1980)|Godfather: Part II, The (1974)|Grand Day Out, A (1992)|This Is Spinal Tap (1984)|Air Force One (1997)|Leave It to Beaver (1997)
Shanghai Triad (Yao a yao yao dao waipo qiao) (1995)|Secrets & Lies (1996)|Donnie Brasco (1997)|Rebel Without a Cause (1955)|Waterworld (1995)|White Man's Burden (1995)|Wild Bill (1995)|Farinelli: il castrato (1994)|Quick and the Dead, The (1995)|You So Crazy (1994)
Muppet Treasure Island (1996)|Haunted World of Edward D. Wood Jr., The (1995)|Army of Darkness (1993)|Sabrina (1995)|African Queen, The (1951)|Beauty and the Beast (1991)|Father of the Bride (1950)|Touch of Evil (1958)|Dark City (1998)|Bad Moon (1996)
Postino, Il (1994)|Star Wars (1977)|Pulp Fiction (1994)|Citizen Kane (1941)|Men in Black (1997)|Great Escape, The (1963)|Ben-Hur (1959)|Pump Up the Volume (1990)|Threesome (1994)|Ruling Class, The (1972)
Four Rooms (1995)|Bad Boys (1995)|Searching for Bobby Fischer (1993)|Wizard of Oz, The (1939)|Bridge on the River Kwai, The (1957)|Evil Dead II (1987)|Star Trek: Generations (1994)|White Man's Burden (1995)|Village of the Damned (1995)|Made in America (1993)
Richard III (1995)|Dances with Wolves (1990)|Snow White and the Seven Dwarfs (1937)|Sabrina (1995)|Transformers: The Movie, The (1986)|Matilda (1996)|Local Hero (1983)|Miller's Crossing (1990)|Seventh Seal, The (Sjunde inseglet, Det) (1957)|High Noon (1952)
White Balloon, The (1995)|Hot Shots! Part Deux (1993)|Frighteners, The (1996)|Sabrina (1995)|Spy Hard (1996)|Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963)|Rebel Without a Cause (1955)|Cool Hand Luke (1967)|Touch of Evil (1958)|Sex, Lies, and Videotape (1989)
