I.Q. (1994)|Three Colors: Red (1994)|Santa Clause, The (1994)|Snow White and the Seven Dwarfs (1937)|Citizen Kane (1941)|Wrong Trousers, The (1993)|Empire Strikes Back, The (1980)|Good, The Bad and The Ugly, The (1966)|Grand Day Out, A (1992)|Star Trek: First Contact (1996)
Dead Man Walking (1995)|Fifth Element, The (1997)|When the Cats Away (Chacun cherche son chat) (1996)|Men in Black (1997)|Starship Troopers (1997)|Tin Cup (1996)|English Patient, The (1996)|Liar Liar (1997)|Ulee's Gold (1997)|Fly Away Home (1996)
Dante's Peak (1997)|Crash (1996)|187 (1997)|Edge, The (1997)|How to Be a Player (1997)|Playing God (1997)|Species (1995)|Walk in the Clouds, A (1995)|Waterworld (1995)|You So Crazy (1994)
I.Q. (1994)|This Is Spinal Tap (1984)|Hoodlum (1997)|Air Force One (1997)|Deep Rising (1998)|White Man's Burden (1995)|Wild Bill (1995)|Farinelli: il castrato (1994)|Stephen King's The Langoliers (1995)|You So Crazy (1994)
Billy Madison (1995)|Crow, The (1994)|Delicatessen (1991)|Psycho (1960)|Full Metal Jacket (1987)|Raising Arizona (1987)|Batman (1989)|Aladdin and the King of Thieves (1996)|Children of the Corn: The Gathering (1996)|Highlander (1986)
Mighty Aphrodite (1995)|Professional, The (1994)|Dances with Wolves (1990)|Henry V (1989)|Back to the Future (1985)|Spy Hard (1996)|Roman Holiday (1953)|East of Eden (1955)|Bringing Up Baby (1938)|Cat on a Hot Tin Roof (1958)
I.Q. (1994)|Gone with the Wind (1939)|Jean de Florette (1986)|Brazil (1985)|Harold and Maude (1971)|Forbidden Planet (1956)|Ben-Hur (1959)|Lost Horizon (1937)|Chamber, The (1996)|M (1931)
Richard III (1995)|Outbreak (1995)|Delicatessen (1991)|Return of the Jedi (1983)|Blues Brothers, The (1980)|Godfather: Part II, The (1974)|Grand Day Out, A (1992)|This Is Spinal Tap (1984)|Air Force One (1997)|Leave It to Beaver (1997)
Shanghai Triad (Yao a yao yao dao waipo qiao) (1995)|Secrets & Lies (1996)|Donnie Brasco (1997)|Rebel Without a Cause (1955)|Waterworld (1995)|White Man's Burden (1995)|Wild Bill (1995)|Farinelli: il castrato (1994)|Quick and the Dead, The (1995)|You So Crazy (1994)
I.Q. (1994)|Army of Darkness (1993)|Sabrina (1995)|Day the Earth Stood Still, The (1951)|East of Eden (1955)|African Queen, The (1951)|Great Dictator, The (1940)|Father of the Bride (1950)|Touch of Evil (1958)|City Hall (1996)
Babe (1995)|Pulp Fiction (1994)|Crow, The (1994)|Citizen Kane (1941)|Unforgiven (1992)|Unbearable Lightness of Being, The (1988)|Harold and Maude (1971)|Ben-Hur (1959)|Pump Up the Volume (1990)|Ruling Class, The (1972)
